gauge_id,cluster
USA_03456500,4
USA_03460000,1
USA_03463300,6
USA_03471500,1
USA_03473000,1
USA_03479000,6
USA_03488000,1
USA_03498500,1
USA_03500000,1
USA_03500240,1
USA_03504000,1
USA_03574500,1
USA_03592718,1
USA_03604000,6
USA_04015330,0
USA_04024430,0
USA_04027000,0
USA_04040500,0
USA_04043050,0
USA_04045500,0
USA_04056500,0
USA_04057510,0
USA_04057800,0
USA_04059500,0
USA_04063700,0
USA_04074950,0
USA_04105700,4
USA_04115265,4
USA_04122200,4
USA_04122500,4
USA_04124000,0
USA_04127918,0
USA_04127997,0
USA_04161580,4
USA_04185000,4
USA_04196800,6
USA_04197100,6
USA_04197170,6
USA_04213000,6
USA_04213075,6
USA_04216418,4
USA_04221000,4
USA_04224775,4
USA_04233000,4
USA_04256000,0
USA_04296000,0
USA_05056000,13
USA_05057000,13
USA_05057200,0
USA_05087500,0
USA_05120500,0
USA_05123400,13
USA_05129115,14
USA_05131500,0
USA_05291000,0
USA_05362000,0
USA_05393500,0
USA_05399500,0
USA_05408000,3
USA_05412500,3
USA_05413500,12
USA_05414000,3
USA_05444000,3
USA_05454000,12
USA_05458000,3
USA_05466500,3
USA_05487980,3
USA_05488200,12
USA_05489000,12
USA_05495000,12
USA_05495500,12
USA_05501000,12
USA_05503800,12
USA_05507600,12
USA_05508805,12
USA_05514500,12
USA_05525500,6
USA_05556500,3
USA_05584500,12
USA_05585000,3
USA_05591550,4
USA_05592050,6
USA_05592575,12
USA_05593575,6
USA_05593900,6
USA_05595730,6
USA_06037500,13
USA_06043500,13
USA_06154410,13
USA_06188000,13
USA_06191500,13
USA_06221400,14
USA_06224000,13
USA_06278300,13
USA_06280300,13
USA_06289000,13
USA_06291500,13
USA_06311000,13
USA_06332515,0
USA_06339100,0
USA_06339500,0
USA_06344600,0
USA_06350000,0
USA_06352000,0
USA_06353000,0
USA_06354000,0
USA_06360500,0
USA_06404000,13
USA_06406000,0
USA_06408700,14
USA_06409000,14
USA_06431500,0
USA_06440200,12
USA_06441500,12
USA_06447000,12
USA_06447500,0
USA_06450500,3
USA_06452000,3
USA_06453600,3
USA_06464500,3
USA_06468170,13
USA_06468250,13
USA_06470800,0
USA_06477500,12
USA_06479215,0
USA_06479438,0
USA_06601000,3
USA_06614800,13
USA_06622700,13
USA_06623800,13
USA_06632400,13
USA_06746095,13
USA_06784000,3
USA_06803510,7
USA_06803530,13
USA_06814000,12
USA_06847900,12
USA_06853800,12
USA_06876700,12
USA_06878000,12
USA_06879650,0
USA_06885500,12
USA_06888500,13
USA_06889200,2
USA_06889500,2
USA_06892000,2
USA_06903400,12
USA_06906800,12
USA_06910800,12
USA_06911900,12
USA_06917000,2
USA_06918460,4
USA_06919500,2
USA_06921070,4
USA_06921200,11
USA_06934000,6
USA_07014500,4
USA_07056000,4
USA_07057500,4
USA_07060710,6
USA_07066000,4
USA_07067000,4
USA_07068000,4
USA_07071500,4
USA_07083000,13
USA_07142300,12
USA_07145700,12
USA_07148400,3
USA_07149000,3
USA_07151500,12
USA_07167500,12
USA_07180500,12
USA_07184000,2
USA_07195800,4
USA_07196900,4
USA_07197000,4
USA_07208500,13
USA_07226500,7
USA_07261000,8
USA_07263295,6
USA_07291000,6
USA_07292500,6
USA_07299670,7
USA_07301410,4
USA_07301500,0
USA_07315200,12
USA_07315700,12
USA_07335700,6
USA_07340300,8
USA_07346045,8
USA_07359610,6
USA_07362100,6
USA_07362587,6
USA_07373000,6
USA_07375000,11
USA_07376000,6
USA_08013000,6
USA_08014500,6
USA_08023080,6
USA_08025500,6
USA_08029500,6
USA_08050800,9
USA_08066200,9
USA_08066300,6
USA_08070000,9
USA_08070200,6
USA_08079600,7
USA_08082700,7
USA_08086212,9
USA_08086290,9
USA_08101000,12
USA_08103900,12
USA_08104900,9
USA_08109700,6
USA_08150800,9
USA_08158700,9
USA_08158810,9
USA_08164000,9
USA_08164300,9
USA_08164600,9
USA_08165300,9
USA_08171300,9
USA_08175000,9
USA_08176900,9
USA_08178880,7
USA_08189500,9
USA_08190000,9
USA_08190500,9
USA_08194200,7
USA_08195000,7
USA_08196000,7
USA_08198500,7
USA_08200000,7
USA_08202700,7
USA_08267500,13
USA_08269000,13
USA_08271000,13
USA_08324000,13
USA_08377900,13
USA_08378500,13
USA_08380500,14
USA_09034900,13
USA_09035800,13
USA_09035900,13
USA_09047700,13
USA_09065500,13
USA_09066000,13
USA_09066200,13
USA_09066300,13
USA_09081600,13
USA_09107000,13
USA_09210500,13
USA_09223000,13
USA_09306242,13
USA_09312600,13
USA_09352900,14
USA_09378170,13
USA_09378630,13
USA_09386900,0
USA_09404450,4
USA_09430500,11
USA_09430600,11
USA_09447800,11
USA_09480000,7
USA_09484600,7
USA_09492400,13
USA_09494000,13
USA_09497800,11
USA_09497980,11
USA_09505350,11
USA_09505800,11
USA_09508300,11
USA_09510200,11
USA_09512280,11
USA_09513780,11
USA_10023000,13
USA_10166430,13
USA_10172700,13
USA_10172800,13
USA_10173450,13
USA_10205030,13
USA_10234500,13
USA_10242000,13
USA_10244950,14
USA_10249300,13
USA_10258000,4
USA_10258500,11
USA_10259000,6
USA_10259200,11
USA_10263500,4
USA_10310500,4
USA_10316500,13
USA_10329500,13
USA_10336645,13
USA_10336660,13
USA_10336740,13
USA_10343500,13
USA_10348850,3
USA_10396000,13
USA_11098000,11
USA_11124500,1
USA_11141280,1
USA_11143000,1
USA_11148900,1
USA_11151300,11
USA_11162500,1
USA_11176400,11
USA_11180500,1
USA_11180960,1
USA_11224500,11
USA_11230500,13
USA_11237500,13
USA_11253310,11
USA_11264500,13
USA_11266500,13
USA_11274500,11
USA_11274630,11
USA_11284400,1
USA_11299600,1
USA_11381500,8
USA_11383500,1
USA_11451100,1
USA_11468500,1
USA_11473900,1
USA_11475560,1
USA_11476600,1
USA_11478500,1
USA_11480390,1
USA_11481200,1
USA_11482500,1
USA_11522500,8
USA_11523200,4
USA_11528700,1
USA_11532500,1
USA_12010000,1
USA_12013500,1
USA_12020000,1
USA_12025000,1
USA_12025700,1
USA_12035000,1
USA_12040500,1
USA_12041200,8
USA_12043000,1
USA_12048000,3
USA_12054000,8
USA_12056500,8
USA_12073500,1
USA_12082500,8
USA_12092000,3
USA_12095000,8
USA_12114500,4
USA_12115000,8
USA_12115500,8
USA_12117000,8
USA_12141300,8
USA_12143600,4
USA_12144000,8
USA_12145500,1
USA_12147500,8
USA_12147600,8
USA_12167000,8
USA_12175500,14
USA_12178100,3
USA_12186000,4
USA_12189500,4
USA_12358500,13
USA_12374250,13
USA_12375900,13
USA_12377150,13
USA_12381400,13
USA_12383500,14
USA_12388400,13
USA_12390700,13
USA_12411000,13
USA_12414500,13
USA_12447390,13
USA_12451000,13
USA_12488500,13
USA_13011500,13
USA_13011900,13
USA_13018300,13
USA_13023000,13
USA_13083000,13
USA_13161500,13
USA_13235000,13
USA_13240000,13
USA_13313000,13
USA_13331500,13
USA_13337000,13
USA_13338500,13
USA_13340000,13
USA_13340600,13
USA_14020000,4
USA_14092750,4
USA_14096850,1
USA_14137000,8
USA_14138800,8
USA_14138870,8
USA_14138900,8
USA_14139800,8
USA_14141500,8
USA_14154500,1
USA_14158500,4
USA_14158790,8
USA_14166500,1
USA_14182500,8
USA_14185000,8
USA_14185900,8
USA_14187000,1
USA_14216500,8
USA_14222500,1
USA_14236200,8
USA_14301000,1
USA_14303200,1
USA_14305500,1
USA_14306340,1
USA_14306500,1
USA_14308990,1
USA_14309500,1
USA_14316700,1
USA_14325000,1
USA_14362250,1
USA_14400000,1
